"","ASIN CORRETTI","ASIN LIVE","ASIN CORRETTI uguale a ASIN LIVE?","NOME PRODOTTO LIVE","NOME PRODOTTO CORRETTO","NOME PRODOTTO LIVE uguale a NOME PRODOTTO CORRETTO?","LUNGHEZZA NOME PRODOTTO LIVE","LUNGHEZZA NOME PRODOTTO CORRETTO","LUNGHEZZA NOME PRODOTTO LIVE uguale a LUNGHEZZA NOME PRODOTTO CORRETTO","LE TRE CONDIZIONI SONO TRUE? SE SI TRUE ALTRIMENTI FALSE"
"12","B00N4K5PDK","B00N4K5PDK",TRUE,"bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso daria/temperatura, puntale antiscottatura","bellissima imetec gh16 400 spazzola ad aria modellante con 2 accessori di styling, diametro 25 mm, potenza 400 w, 2 combinazioni flusso daria/temperatura, puntale antiscottatura",TRUE,177,177,TRUE,"TRUE"
"13","B00O4QVS66","B00O4QVS66",TRUE,"imetec bellissima p2 2200 asciugacapelli professionale, potenza 2200 w, tecnologia a ioni per idratare i capelli e ridurre leffetto crespo, 8 combinazioni aria/temperatura, beccuccio stretto","imetec bellissima p2 2200 asciugacapelli professionale, potenza 2200 w, tecnologia a ioni per idratare i capelli e ridurre leffetto crespo, 8 combinazioni aria/temperatura, beccuccio stretto",TRUE,190,190,TRUE,"TRUE"
"14","B00RP0J7AW","B00RP0J7AW",TRUE,"bellissima imetec b9 100 piastra per capelli, piastra extralunghe, riscaldamento rapido, multivoltaggio automatico, temperatura 210°, cavo giravole","bellissima imetec b9 100 piastra per capelli, piastra extralunghe, riscaldamento rapido, multivoltaggio automatico, temperatura 210°, cavo giravole",TRUE,147,147,TRUE,"TRUE"
"15","B00SKVYB6K","B00SKVYB6K",TRUE,"bellissima imetec gt13 50 arricciacapelli, rivestimento in ceramica, 7 diversi livelli di temperatura da 150°c a 210°c, diametro di 25 mm, riscaldamento rapido, pronto alluso","bellissima imetec gt13 50 arricciacapelli, rivestimento in ceramica, 7 diversi livelli di temperatura da 150°c a 210°c, diametro di 25 mm, riscaldamento rapido, pronto alluso",TRUE,174,174,TRUE,"TRUE"
"16","B00VRGPXF8","B00VRGPXF8",TRUE,"bellissima imetec gt15 100 arricciacapelli, ricci brillanti e definiti, diametro 19 mm, rivestimento in ceramica, riscaldamento rapido, pronto alluso","bellissima imetec gt15 100 arricciacapelli, ricci brillanti e definiti, diametro 19 mm, rivestimento in ceramica, riscaldamento rapido, pronto alluso",TRUE,149,149,TRUE,"TRUE"
"17","B00VYLJ4H4","B00VYLJ4H4",TRUE,"bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido","bellissima imetec creativity b9 300 piastra per capelli, styling liscio o mosso, rivestimento in ceramica, regolazione temperatura da 150°c a 230°c, sistema riscaldamento rapido",TRUE,177,177,TRUE,"TRUE"
"18","B015O6A68K","B015O6A68K",TRUE,"bellissima imetec creativity b9 400 piastra per capelli, styling liscio o mosso, rivestimento in ceramica e cheratina, piastre arrotondate","bellissima imetec creativity b9 400 piastra per capelli, styling liscio o mosso, rivestimento in ceramica e cheratina, piastre arrotondate",TRUE,138,138,TRUE,"TRUE"
"19","B015O6A6GM","B015O6A6GM",TRUE,"bellissima imetec p11 2300 asciugacapelli professionale, 2300 w, rivestimento in ceramica e tormalina, 8 combinazioni aria/temperatura, beccuccio stretto, diffusore capelli ricci","bellissima imetec p11 2300 asciugacapelli professionale, 2300 w, rivestimento in ceramica e tormalina, 8 combinazioni aria/temperatura, beccuccio stretto, diffusore capelli ricci",TRUE,178,178,TRUE,"TRUE"
"20","B015O6AFPE","B015O6AFPE",TRUE,"imetec c20 2100 asciugacapelli, 2100 w, beccuccio orientabile, diffusore professionale, funzione fast drying per unasciugatura rapida, 4 combinazioni aria/temperatura, colpo aria fredda, cavo 1.8 m","imetec c20 2100 asciugacapelli, 2100 w, beccuccio orientabile, diffusore professionale, funzione fast drying per unasciugatura rapida, 4 combinazioni aria/temperatura, colpo aria fredda, cavo 1.8 m",TRUE,197,197,TRUE,"TRUE"
"21","B01JOL22Y2","B01JOL22Y2",TRUE,"imetec hb3 frullatore a immersione, gambo large estraibile, lame in acciaio inox, funzionamento a impulsi, 450 w","imetec hb3 frullatore a immersione, gambo large estraibile, lame in acciaio inox, funzionamento a impulsi, 450 w",TRUE,112,112,TRUE,"TRUE"
"22","B01LXNKQOL","B01LXNKQOL",TRUE,"imetec panemio macchina del pane, impasta lievita e cuoce, 12 programmi, cestello pagnotta, accessorio panini, 3 livelli di doratura, avvio programmabile, 550 w, ricettario, champagne/antracite","imetec panemio macchina del pane, impasta lievita e cuoce, 12 programmi, cestello pagnotta, accessorio panini, 3 livelli di doratura, avvio programmabile, 550 w, ricettario, champagne/antracite",TRUE,193,193,TRUE,"TRUE"
"23","B01N55NF5G","B01N55NF5G",TRUE,"bellissima imetec creativity color shine b22 100 piastra per capelli colorati, rivestimento in tessuto per la protezione dei capelli, temperatura regolabile da 150°c a 230°c","bellissima imetec creativity color shine b22 100 piastra per capelli colorati, rivestimento in tessuto per la protezione dei capelli, temperatura regolabile da 150°c a 230°c",TRUE,173,173,TRUE,"TRUE"
"24","B06WGV3DBP","B06WGV3DBP",TRUE,"bellissima imetec beach waves gt20 100 piastra per capelli a onde larghe e strette, rivestimento in ceramica, temperatura regolabile","bellissima imetec beach waves gt20 100 piastra per capelli a onde larghe e strette, rivestimento in ceramica, temperatura regolabile",TRUE,132,132,TRUE,"TRUE"
"25","B06WP9PPT6","B06WP9PPT6",TRUE,"bellissima imetec intellisense b24 100 piastra per capelli lisci e mossi a 60° c in meno con tecnologia intellistyle, rivestimento in ceramica, 5 livelli di temperatura","bellissima imetec intellisense b24 100 piastra per capelli lisci e mossi a 60° c in meno con tecnologia intellistyle, rivestimento in ceramica, 5 livelli di temperatura",TRUE,168,168,TRUE,"TRUE"
"26","B0711KBY99","B0711KBY99",TRUE,"imetec personal e sport blender pb 100 mini frullatore con 2 bottiglie take-away in tritan e 4 lame in acciaio inox, 22,000 giri/min","imetec personal e sport blender pb 100 mini frullatore con 2 bottiglie take-away in tritan e 4 lame in acciaio inox, 22,000 giri/min",TRUE,132,132,TRUE,"TRUE"
"27","B071451JHC","B071451JHC",TRUE,"imetec sm 1000 soup maker, cuoce e frulla, 3 programmi automatici, vellutate, zuppe e frullati, 6 porzioni, lame seghettate acciaio inox, con ricettario, 900 w, 1.6 litri","imetec sm 1000 soup maker, cuoce e frulla, 3 programmi automatici, vellutate, zuppe e frullati, 6 porzioni, lame seghettate acciaio inox, con ricettario, 900 w, 1.6 litri",TRUE,170,170,TRUE,"TRUE"
"28","B072MSQDQG","B072MSQDQG",TRUE,"bellissima imetec b26 100 piastra per capelli lunghi o difficili da disciplinare, formato extra large, rivestimento in ceramica, 160° c - 230° c","bellissima imetec b26 100 piastra per capelli lunghi o difficili da disciplinare, formato extra large, rivestimento in ceramica, 160° c - 230° c",TRUE,144,144,TRUE,"TRUE"
"29","B0755CJFPL","B0755CJFPL",TRUE,"imetec sp 100 spiralizer elettrico, tagliaverdure a spirale, affetta verdure in 3 forme spaghetti, tagliatelle, pappardelle, lame in acciaio inox, contenitore bpa free 500 ml, sistema di sicurezza","imetec sp 100 spiralizer elettrico, tagliaverdure a spirale, affetta verdure in 3 forme spaghetti, tagliatelle, pappardelle, lame in acciaio inox, contenitore bpa free 500 ml, sistema di sicurezza",TRUE,196,196,TRUE,"TRUE"
"30","B075RFR2CV","B075RFR2CV",TRUE,"bellissima imetec gt15 200 ferro arricciacapelli con rivestimento in ceramica, forma conica, controllo della temperatura","bellissima imetec gt15 200 ferro arricciacapelli con rivestimento in ceramica, forma conica, controllo della temperatura",TRUE,120,120,TRUE,"TRUE"
"31","B075RGG4Y5","B075RGG4Y5",TRUE,"bellissima imetec creativity b27 100 piastra per capelli con rivestimento in ceramica e controllo della temperatura, temperatura egolabile 150°c / 230°c, multicolore","bellissima imetec creativity b27 100 piastra per capelli con rivestimento in ceramica e controllo della temperatura, temperatura egolabile 150°c / 230°c, multicolore",TRUE,165,165,TRUE,"TRUE"
"32","B076998CD8","B076998CD8",TRUE,"imetec succovivo pro 2000 estrattore di succo professionale a freddo, spremitura lenta 48 giri/min, 2 filtri per succhi, accessorio per granite e sorbetti, kit per maschere bellezza, con ricettario","imetec succovivo pro 2000 estrattore di succo professionale a freddo, spremitura lenta 48 giri/min, 2 filtri per succhi, accessorio per granite e sorbetti, kit per maschere bellezza, con ricettario",TRUE,197,197,TRUE,"TRUE"
"33","B078RL1X78","B078RL1X78",TRUE,"imetec bw03 boule elettrica cordless, tecnologia ceramica, riscaldamento ultrarapido, termostato di sicurezza, spia di ricarica","imetec bw03 boule elettrica cordless, tecnologia ceramica, riscaldamento ultrarapido, termostato di sicurezza, spia di ricarica",TRUE,127,127,TRUE,"TRUE"
"34","B079FN8N4T","B079FN8N4T",TRUE,"bellissima imetec bm 200 piastra mini per capelli lisci e luminosi, temperatura 200°, multivoltaggio automatico, dimensioni compatte da viaggio","bellissima imetec bm 200 piastra mini per capelli lisci e luminosi, temperatura 200°, multivoltaggio automatico, dimensioni compatte da viaggio",TRUE,143,143,TRUE,"TRUE"
"35","B079Z9GXQS","B079Z9GXQS",TRUE,"imetec salon expert p5 3600 asciugacapelli professionale, 2300 w, griglia con rivestimento in ceramica e cheratina, tecnologia a ioni, 8 combinazioni aria/temperatura, 2 beccucci","imetec salon expert p5 3600 asciugacapelli professionale, 2300 w, griglia con rivestimento in ceramica e cheratina, tecnologia a ioni, 8 combinazioni aria/temperatura, 2 beccucci",TRUE,178,178,TRUE,"TRUE"
"36","B07CKRCMB7","B07CKRCMB7",TRUE,"imetec zerocalc z3 3500 ferro da stiro, tecnologia anticalcare, piastra inox 2400 w, colpo vapore 150 g, bianco blu","imetec zerocalc z3 3500 ferro da stiro, tecnologia anticalcare, piastra inox 2400 w, colpo vapore 150 g, bianco blu",TRUE,115,115,TRUE,"TRUE"
"37","B07CKY9SNZ","B07CKY9SNZ",TRUE,"imetec zerocalc z1 2500 ferro da stiro, tecnologia anticalcare, piastra inox 2200 w, colpo vapore 120 g","imetec zerocalc z1 2500 ferro da stiro, tecnologia anticalcare, piastra inox 2200 w, colpo vapore 120 g",TRUE,103,103,TRUE,"TRUE"
"38","B07FYHM3QY","B07FYHM3QY",TRUE,"bellissima imetec magic straight brush pb11 100 spazzola elettrica lisciante, 3 lati esterni riscaldati, spegnimento automatico, tecnologia a ioni, ceramica, 160 c°- 210°c, nero/oro rosa","bellissima imetec magic straight brush pb11 100 spazzola elettrica lisciante, 3 lati esterni riscaldati, spegnimento automatico, tecnologia a ioni, ceramica, 160 c°- 210°c, nero/oro rosa",TRUE,186,186,TRUE,"TRUE"
"39","B07FZ4PVRP","B07FZ4PVRP",TRUE,"bellissima imetec steam b28 100 piastra per capelli professionale a vapore, effetto liscio a lungo, ceramica, temperatura regolabile 170°c - 200°c - 230°c, riscaldamento rapido","bellissima imetec steam b28 100 piastra per capelli professionale a vapore, effetto liscio a lungo, ceramica, temperatura regolabile 170°c - 200°c - 230°c, riscaldamento rapido",TRUE,176,176,TRUE,"TRUE"
"40","B07JVLQ38M","B07JVLQ38M",TRUE,"imetec bellissima my pro ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, 2300 w, nero oro","imetec bellissima my pro ceramic p5 3800 asciugacapelli professionale per capelli morbidi e luminosi, tecnologia ceramica, 2300 w, nero oro",TRUE,139,139,TRUE,"TRUE"
"41","B07MZGRDJ4","B07MZGRDJ4",TRUE,"imetec zerocalc z3 3700 ferro da stiro, tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, 2400w, colpo vapore 160 g, 0,3 litri, dispositivo antigoccia tecnologia a risparmio energetico","imetec zerocalc z3 3700 ferro da stiro, tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, 2400w, colpo vapore 160 g, 0,3 litri, dispositivo antigoccia tecnologia a risparmio energetico",TRUE,198,198,TRUE,"TRUE"
"42","B07NYRRF1Y","B07NYRRF1Y",TRUE,"imetec zerocalc z3 3900 ferro da stiro a vapore, tecnologia anticalcare, tecnologia intellivapor (temperatura unica ideale per tutti i tessuti), piastra ceramica, 2400 w, colpo vapore 170 g","imetec zerocalc z3 3900 ferro da stiro a vapore, tecnologia anticalcare, tecnologia intellivapor (temperatura unica ideale per tutti i tessuti), piastra ceramica, 2400 w, colpo vapore 170 g",TRUE,189,189,TRUE,"TRUE"
"43","B07PPC54RD","B07PPC54RD",TRUE,"imetec zerocalc z1 2800 ferro da stiro con tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, tecnologia a risparmio energetico, 2200 w, colpo vapore 130 g","imetec zerocalc z1 2800 ferro da stiro con tecnologia anticalcare, piastra ceramica ad alta scorrevolezza, tecnologia a risparmio energetico, 2200 w, colpo vapore 130 g",TRUE,168,168,TRUE,"TRUE"
"44","B07S5L8VYG","B07S5L8VYG",TRUE,"bellissima imetec magic style brush p2 30 spazzola riscaldata, capelli liscio effetto naturale/mosso sostenuto, diametro 30 mm, tecnologia a ioni, rivestimento ceramica, nero/oro rosa","bellissima imetec magic style brush p2 30 spazzola riscaldata, capelli liscio effetto naturale/mosso sostenuto, diametro 30 mm, tecnologia a ioni, rivestimento ceramica, nero/oro rosa",TRUE,183,183,TRUE,"TRUE"
"45","B07S5L9937","B07S5L9937",TRUE,"bellissima imetec my pro creativity infrared b8 200, piastra lisciante, tecnologia raggi infrarossi, rivestimento in ceramica e cheratina, 11 livelli di temperatura da 130 °c a 230 °c, cavo 1,8 m","bellissima imetec my pro creativity infrared b8 200, piastra lisciante, tecnologia raggi infrarossi, rivestimento in ceramica e cheratina, 11 livelli di temperatura da 130 °c a 230 °c, cavo 1,8 m",TRUE,195,195,TRUE,"TRUE"
"46","B07S61V42S","B07S61V42S",TRUE,"imetec zerocalc kf1 100 kit 3 filtri anticalcare per ferri da stiro imetec zerocalc pro ceramic ps2 2400, ps2 2000, ps2 2200, intellivapor ps3 3000, imetec onda, ricambi originali","imetec zerocalc kf1 100 kit 3 filtri anticalcare per ferri da stiro imetec zerocalc pro ceramic ps2 2400, ps2 2000, ps2 2200, intellivapor ps3 3000, imetec onda, ricambi originali",TRUE,179,179,TRUE,"TRUE"
"47","B07VC16GW8","B07VC16GW8",TRUE,"imetec compact es1 100 bilancia pesapersone elettronica compatta, design ultrasottile, ampio lcd display, portata max 150 kg","imetec compact es1 100 bilancia pesapersone elettronica compatta, design ultrasottile, ampio lcd display, portata max 150 kg",TRUE,124,124,TRUE,"TRUE"
"48","B07VGH4Z81","B07VGH4Z81",TRUE,"imetec body analizer es7 400 bilancia pesapersone diagnostica, misura acqua corporea, massa muscolare e grassa","imetec body analizer es7 400 bilancia pesapersone diagnostica, misura acqua corporea, massa muscolare e grassa",TRUE,110,110,TRUE,"TRUE"
"49","B07W3VJQZD","B07W3VJQZD",TRUE,"bellissima imetec gh18 1100 modellatore ad aria, rivestimento spazzole in ceramica, 5 accessori per realizzare capelli lisci e luminosi, a onde morbide o ricci stretti, 1000 w","bellissima imetec gh18 1100 modellatore ad aria, rivestimento spazzole in ceramica, 5 accessori per realizzare capelli lisci e luminosi, a onde morbide o ricci stretti, 1000 w",TRUE,175,175,TRUE,"TRUE"
"50","B07W4JVN8S","B07W4JVN8S",TRUE,"imetec monitoring es9 300 bilancia pesapersone elettronica, monitoraggio trend grafico peso, 4 utenti, fino a 180 kg, lcd display, vetro temperato, grigio scuro","imetec monitoring es9 300 bilancia pesapersone elettronica, monitoraggio trend grafico peso, 4 utenti, fino a 180 kg, lcd display, vetro temperato, grigio scuro",TRUE,160,160,TRUE,"TRUE"
"51","B07WBZC85N","B07WBZC85N",TRUE,"imetec precision es13 200 bilancia pesapersone elettronica, rivela anche le minime variazioni di peso, fino a 180 kg, lcd display, vetro temperato, batterie incluse","imetec precision es13 200 bilancia pesapersone elettronica, rivela anche le minime variazioni di peso, fino a 180 kg, lcd display, vetro temperato, batterie incluse",TRUE,164,164,TRUE,"TRUE"
"52","B07Y8DHN3F","B07Y8DHN3F",TRUE,"imetec eco se9 1000 asciugacapelli con tecnologia eco technology 1400 w, consumo energetico ridotto, 8 combinazioni aria/temperatura, diffusore per capelli ricci","imetec eco se9 1000 asciugacapelli con tecnologia eco technology 1400 w, consumo energetico ridotto, 8 combinazioni aria/temperatura, diffusore per capelli ricci",TRUE,161,161,TRUE,"TRUE"
"53","B07Y8DPHCL","B07Y8DPHCL",TRUE,"bellissima imetec p3 3400 asciugacapelli con motore ac professionale, tecnologia a ioni per capelli morbidi, idratati e luminosi, griglia rivestita in ceramica, 2400 w di potenza","bellissima imetec p3 3400 asciugacapelli con motore ac professionale, tecnologia a ioni per capelli morbidi, idratati e luminosi, griglia rivestita in ceramica, 2400 w di potenza",TRUE,178,178,TRUE,"TRUE"
"54","B07Y8FDGDQ","B07Y8FDGDQ",TRUE,"imetec scaldasonno adapto piazza e mezza 150 x 120 cm, basso consumo, tecnologia brevettata, riscaldamento rapido, temperatura personalizzata, 100 % cotone, made in italy, comando con 6 temperature","imetec scaldasonno adapto piazza e mezza 150 x 120 cm, basso consumo, tecnologia brevettata, riscaldamento rapido, temperatura personalizzata, 100 % cotone, made in italy, comando con 6 temperature",TRUE,197,197,TRUE,"TRUE"
"55","B07Y8FZ6GJ","B07Y8FZ6GJ",TRUE,"imetec scaldasonno adapto singolo 150 x 80 cm, riscaldamento rapido, temperatura costante e personalizzata, tessuto trapuntato anallergico, made in italy, comando con 6 temperature","imetec scaldasonno adapto singolo 150 x 80 cm, riscaldamento rapido, temperatura costante e personalizzata, tessuto trapuntato anallergico, made in italy, comando con 6 temperature",TRUE,180,180,TRUE,"TRUE"
"56","B07Y8GCMLG","B07Y8GCMLG",TRUE,"imetec scaldasonno adapto matrimoniale 150 x 160 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, 100% lana e merino, made in italy, 2 comandi separati, 6 temperature","imetec scaldasonno adapto matrimoniale 150 x 160 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, 100% lana e merino, made in italy, 2 comandi separati, 6 temperature",TRUE,186,186,TRUE,"TRUE"
"57","B07Y8GH4K8","B07Y8GH4K8",TRUE,"imetec scaldasonno adapto matrimoniale 150 x 160 cm, basso consumo, tecnologia brevettata, riscaldamento rapido, temperatura personalizzata, 100% cotone, made in italy, 2 comandi con 6 temperature","imetec scaldasonno adapto matrimoniale 150 x 160 cm, basso consumo, tecnologia brevettata, riscaldamento rapido, temperatura personalizzata, 100% cotone, made in italy, 2 comandi con 6 temperature",TRUE,196,196,TRUE,"TRUE"
"58","B07Y8GQMP5","B07Y8GQMP5",TRUE,"imetec scaldasonno adapto singolo 150 x 80 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, 100% lana e merino, made in italy, tessuto antiscivolo, comando con 6 temperature","imetec scaldasonno adapto singolo 150 x 80 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, 100% lana e merino, made in italy, tessuto antiscivolo, comando con 6 temperature",TRUE,193,193,TRUE,"TRUE"
"59","B07Y8GQVND","B07Y8GQVND",TRUE,"imetec scaldasonno adapto matrimoniale, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto trapuntato anallergico, made in italy, 2 comandi con 6 temperature, 150 x 160 cm","imetec scaldasonno adapto matrimoniale, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto trapuntato anallergico, made in italy, 2 comandi con 6 temperature, 150 x 160 cm",TRUE,193,193,TRUE,"TRUE"
"60","B07Y8GR1WS","B07Y8GR1WS",TRUE,"imetec scaldasonno adapto singolo 150 x 80 cm, basso consumo, tecnologia brevettata, riscaldamento rapido, temperatura personalizzata, 100% cotone, made in italy, comando con 6 temperature","imetec scaldasonno adapto singolo 150 x 80 cm, basso consumo, tecnologia brevettata, riscaldamento rapido, temperatura personalizzata, 100% cotone, made in italy, comando con 6 temperature",TRUE,188,188,TRUE,"TRUE"
"61","B082WSYYCX","B082WSYYCX",TRUE,"bellissima imetec asciugacapelli k9 2300 asciuga e mantiene idratati i capelli senza effetto crespo, 2300 w, tecnologia a ioni, 8 combinazioni flusso daria temperatura, diffusore capellli ricci","bellissima imetec asciugacapelli k9 2300 asciuga e mantiene idratati i capelli senza effetto crespo, 2300 w, tecnologia a ioni, 8 combinazioni flusso daria temperatura, diffusore capellli ricci",TRUE,193,193,TRUE,"TRUE"
"62","B082WSZXHB","B082WSZXHB",TRUE,"bellissima imetec asciugacapelli s9 2200 asciuga e modella con precisione, 2200 w, 8 combinazioni flusso daria temperatura, beccussio di precisione, colpo aria fredda","bellissima imetec asciugacapelli s9 2200 asciuga e modella con precisione, 2200 w, 8 combinazioni flusso daria temperatura, beccussio di precisione, colpo aria fredda",TRUE,166,166,TRUE,"TRUE"
"63","B0848JZ6KP","B0848JZ6KP",TRUE,"imetec zero-glu pro, macchina per pane, ciabatte e panini senza glutine per celiaci, pasta pizza, dolci, marmellate, 20 programmi, 2 pale impastatrici, temperatura levitazione controllata, ricettario","imetec zero-glu pro, macchina per pane, ciabatte e panini senza glutine per celiaci, pasta pizza, dolci, marmellate, 20 programmi, 2 pale impastatrici, temperatura levitazione controllata, ricettario",TRUE,199,199,TRUE,"TRUE"
"64","B08HR1VGSR","B08HR1VGSR",TRUE,"imetec scaldasonno adapto maxi coprimaterasso singolo 195x90 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto anallergico trapuntato, comando a 6 temperature","imetec scaldasonno adapto maxi coprimaterasso singolo 195x90 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto anallergico trapuntato, comando a 6 temperature",TRUE,185,185,TRUE,"TRUE"
"65","B08HR23S41","B08HR23S41",TRUE,"imetec scaldasonno adapto maxi coprimaterasso matrimoniale 195x165 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto anallergico trapuntato, doppio comando, 6 temperature","imetec scaldasonno adapto maxi coprimaterasso matrimoniale 195x165 cm, basso consumo, riscaldamento rapido, temperatura personalizzata, tessuto anallergico trapuntato, doppio comando, 6 temperature",TRUE,197,197,TRUE,"TRUE"
"66","B08HS4ZSMH","B08HS4ZSMH",TRUE,"imetec onda f2, ferro da stiro a vapore con piastra a onde scorrevole brevettata, 2400 w, colpo di vapore 200g, serbatoio 300 ml, tripla protezione anticalcare","imetec onda f2, ferro da stiro a vapore con piastra a onde scorrevole brevettata, 2400 w, colpo di vapore 200g, serbatoio 300 ml, tripla protezione anticalcare",TRUE,159,159,TRUE,"TRUE"
"67","B08HS61FJ5","B08HS61FJ5",TRUE,"imetec onda p2 ferro da stiro generatore di vapore, piastra a onde scorrevole brevettata, 2400w, colpo vapore 300 g, serbatoio 2,5l, 3 filtri con ioni di argento, tecnologia no stop vapor","imetec onda p2 ferro da stiro generatore di vapore, piastra a onde scorrevole brevettata, 2400w, colpo vapore 300 g, serbatoio 2,5l, 3 filtri con ioni di argento, tecnologia no stop vapor",TRUE,187,187,TRUE,"TRUE"
