"","asin","asin_2","name"
"68","B0056BZZDA","B0056BZZDA","Imetec Scaldasonno Singolo 150x80 cm, 50% Lana e Merino, 2 Temperature, Dispositivo Sicurezza Electro Block, Made in Italy"
"69","B078RL1X78","B078RL1X78",NA
"70","B0B8JFYZ34","B0B8JFYZ34","Imetec Scaldapiedi Tecnologia Intellisense,Tessuto Morbido,Comando Digitale 5 Temperature,Autospegnimento, Dispositivo Sicurezza Electro Block,Rivestimento Lavabile in Lavatrice, 52x54 cm, Multicolore"
"71","B07VC16GW8","B07VC16GW8",NA
"72","B07W4JVN8S","B07W4JVN8S",NA
"73","B09N2JV9X3","B09N2JV9X3","Imetec Pro, Bilancia Pesapersone Meccanica, Rileva il Peso in Modo Chiaro e Affidabile, Pedana Antiscivolo, Portata max 150 kg, Divisione 1 kg"
"74","B07WBZC85N","B07WBZC85N",NA
"75","B07VGH4Z81","B07VGH4Z81",NA
"76","B00GLSDCS2","B00GLSDCS2","Imetec Nuvola Ferro da Stiro da Viaggio a Vapore, Piastra in Acciaio Inossidabile da 1000 W, Custodia da Viaggio, Doppio Voltaggio"
"77","B07CKY9SNZ","B07CKY9SNZ",NA
"78","B07MZGRDJ4","B07MZGRDJ4",NA
"79","B07NYRRF1Y","B07NYRRF1Y",NA
"80","B07CKRCMB7","B07CKRCMB7",NA
"81","B08V11MR92","B08V11MR92",NA
"82","B08X6QMR36","B08X6QMR36","Imetec Onda F1, Ferro da Stiro a Vapore con Piastra a Onde Scorrevole Brevettata, 2400 W, Colpo di Vapore 200g, Serbatoio 300 ml, Tripla Protezione Anticalcare"
"83","B09SDHHKJZ","B09SDHHKJZ","Imetec Intellifast, ferro da stiro a vapore, Tecnologia Intelli System, Impostazione automatica della temperatura, Piastra Ceramic Diamond, Protezione anticalcare, 2400 W, Colpo Vapore 200 g"
"84","B0BCPB5TYQ","B0BCPB5TYQ",NA
"85","B07S61V42S","B07S61V42S","Imetec ZeroCalc KF1 100 Kit 3 filtri anticalcare per Ferri da Stiro Imetec ZeroCalc Pro Ceramic PS2 2400, PS2 2000, PS2 2200, Intellivapor PS3 3000, Imetec Onda, Ricambi Originali"
"86","B0B1QV8TWC","B0B1QV8TWC",NA
